127.0.0.1 - - [15/Nov/2018:10:58:37 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/indextv.html HTTP/1.1" 200 36981
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/css/style.css HTTP/1.1" 200 7463
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/js/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/js/myjs.js HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/iphone7-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/samsungs8plus-index.jpg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/lumia950xl-index.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/sonyxzs-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/... HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/lgg6-index.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/iphone7plus-content.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/samsung.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/sony.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/oppof3.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/iphone6.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/macbook.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/htc-content.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/ipadmini2-content.png HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/macbookpro-content.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/iphone7-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/iphone7-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/iphone7-3.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/iphone7-4.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/sonyxzs-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/sonyxzs-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/samsungs8plus-1.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/samsungs8plus-2.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/samsungs8plus-3.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:38 +0700] "GET /ThuVien/img/samsungs8plus-4.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:10:58:39 +0700] "GET /ThuVien/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/NewFile.jsp HTTP/1.1" 200 37028
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/iphone7-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/iphone7plus-content.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/sony.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/samsung.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/oppof3.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/iphone6.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/macbook.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/samsungs8plus-index.jpg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/htc-content.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/ipadmini2-content.png HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/js/myjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/macbookpro-content.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/sonyxzs-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/iphone7-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/iphone7-3.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/iphone7-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/lumia950xl-index.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/iphone7-4.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/sonyxzs-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/lgg6-index.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/sonyxzs-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/samsungs8plus-1.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/samsungs8plus-3.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/samsungs8plus-2.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/... HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:46 +0700] "GET /ThuVien/img/samsungs8plus-4.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:52 +0700] "GET /ThuVien/NewFile.jsp HTTP/1.1" 200 37028
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/js/jquery-3.2.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/iphone7-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/sonyxzs-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/samsungs8plus-index.jpg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/lumia950xl-index.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/lgg6-index.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/... HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/iphone7plus-content.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/samsung.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/sony.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/oppof3.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/iphone6.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/macbook.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/htc-content.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/ipadmini2-content.png HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/macbookpro-content.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/js/myjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/iphone7-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/iphone7-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/iphone7-3.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/iphone7-4.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/sonyxzs-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/sonyxzs-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/samsungs8plus-1.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/samsungs8plus-2.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/samsungs8plus-3.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:49:53 +0700] "GET /ThuVien/img/samsungs8plus-4.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:02 +0700] "GET /ThuVien/NewFile.jsp HTTP/1.1" 200 37028
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/css/style.css HTTP/1.1" 200 7463
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/js/jquery-3.2.0.min.js HTTP/1.1" 200 86596
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/iphone7-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/sonyxzs-index.jpg HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/js/myjs.js HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/samsungs8plus-index.jpg HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/lgg6-index.jpg HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/lumia950xl-index.jpg HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/iphone7plus-content.png HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/... HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/sony.png HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/samsung.jpg HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/oppof3.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/iphone6.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/macbook.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/htc-content.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/ipadmini2-content.png HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/macbookpro-content.png HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/iphone7-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/iphone7-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/iphone7-3.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/iphone7-4.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/sonyxzs-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/sonyxzs-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/samsungs8plus-1.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/samsungs8plus-2.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/samsungs8plus-3.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/img/samsungs8plus-4.png HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:03 +0700] "GET /ThuVien/... HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:04 +0700] "GET /ThuVien/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:04 +0700] "GET /ThuVien/img/iphone7-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:04 +0700] "GET /ThuVien/img/iphone7-4.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:04 +0700] "GET /ThuVien/img/sonyxzs-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:04 +0700] "GET /ThuVien/img/iphone7-2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:04 +0700] "GET /ThuVien/img/iphone7-3.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:04 +0700] "GET /ThuVien/img/sonyxzs-1.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [15/Nov/2018:22:50:04 +0700] "GET /ThuVien/img/samsungs8plus-2.png HTTP/1.1" 404 1056
